text,label
bitch firstly it s resting on my titties and secondly if u was paying attention youd have seen when i said i rolled into it,1
update u are still a bitch,1
you fat hoes need to exercise and diet,1
i told my mom she eats cereal ugly she gon say your a rude little bitch i just thought i should let bitch know,1
nah we still up all the flat booty bitches asleep yet or nah,1
thanks for that text i found that hoe,1
and if u aint a ho get up out my trap houuuse,1
lol what i look like waiting on another nigga bitch,1
kayci and i greet each other by saying hey cunt like it makes me lol,1
that s my young ho i don t want nuthin old but her bank roll,1
you don t have to say it you showed yaself bitch nobody said i did now shut the fuck up that fat made you retarded,1
whatchu gon do bout it bitch,1
xavier you bitch,1
can t stand a sob ass bitch,1
broke bitch cant tell me nothing,1
what about the doc he s a pussy he ain t going anywhere,1
my fuckin mom is a bitch like she aint even payin for it dylan is and he said its fine,1
yasss trys new things with bestfriend bitch who do you love,1
get a dope new job bruh good luck pussy interview aka money time,1
some guy said i was wearing leggings and laughed and called me a fag they re jeggings asshole,1
got ya bitch tip toeing on my hardwood floors,1
these th grade hoes ain t loyal,1
top thot tattoos dream catchers bird feathers inspirational quotes that they dont live by animal p,2
what d the note say stop being a bitch here s some flowers gets em everytime,1
if she ever been on a club flyer she a hoe,1
tell these hoes i love them just to fuck em,1
is it full of niggers,1
ion trust no bitch,1
ha he ain t welcome in washington state or nashville serpas is straight trash,2
oreo cheesecake bars,2
ima get this so every time i throw trash away its where it really belongs,2
been trash the gay chris bosh jokes are getting old now,1
you a faggot if you use uber because real niggas drive drunk,1
congressman s office admits hell yeah benihana up in this bitch tweet was a mistake,1
bitch said best way to get over a man is to get under another one smh dats ah hoe for u,1
especially since rick and andrea are banging each other in the comics but the bitch died already,1
bitch i hit you with the dm and a nigga aint dm back,1
geminis rule hoe,1
i don t have another face other than my bitch face,1
yea you bad but hoe so what,1
when a bitch says hi to bae,1
lol life made her a hoe,1
you are so fake i m going to put you on blast bitch,1
females now a days don t like to do anything freaky because you niggas gossip about it like bitches,1
hold all your ghetto labeled and endorsed vodka brands you can rum me silly any day shivermetimbers,2
porn android iphone ipad sex xxx babe ebony babe pussy,1
if i was a girl like that u would probably eat my pussy jasper,1
if ya friends always trynna get you to break up wit ya nigga or do thot shit wit them them bitches really ain t ya friends,1
lets get drunk get blowed spit shit spark blunts fuck hoes bro white dudes have no chill,1
this grown on your own shit is for the birds,1
we now know more about twinkies and how old the earth is than what happened in benghazi,2
just got rich took a broke nigga bitch,1
fake bitches,1
aren t these little border jumpers supposed to be in school,2
my sugar daddy is following this bitch fuckin hoe that use to be my friend this is bullshit,1
ginobli dropping them bitches like a delta line,1
faves snoop and justin are having so much fun at this charlie wilson tribute betawards,2
twerking in the chamber of secrets with all my bad bitches twerkteam,1
all you bitches know youre trying to find yourself on the website who are you kidding lol,1
goodnight my real nigga bitches,1
that hoe brittish got the fuckin nerve,1
scientists recently discovered that bitches do in fact be trippin,1
nevermind still a little bitch,1
they want what i got i want what they got america they got the word nigger i want it to,0
i want a blunt pizza and pussy,1
rejectedpeanutsspecials its the grape crackhead charlie brown,2
trey songz can sing but cant actually right a good song trey songz is only relevant because of thirsty black bitches,1
his defense is trash and he s been rocked by jesus soto karass and diego chaves,2
trust no man fear no bitch wisewords,1
more like look at all those bitches,1
somebody tell these broke bitches stay in they place yun stand,1
but staying up gon be a bitch,1
lmaoooooo dre really is a big sloppy bitch he s fat as shit,1
ok u fat precious lookin ass bitch u big fat back at the barnyard lookin ass bitch i can fix my grammar but u still fat,0
ugly people taken nerds taken hoes taken everybody taken me,1
these harbor bitches are all party bus hoes lol all,1
faux noise pundits don t like duck molester pro slavery racist homophobic teabagger darling phil robertson either,0
i just getting started oh ya we got it bitch,1
but why does my school always have prom on friday the th like this isn t some freddy vs jason shit even tho some bitches gonna look it,1
lmaooo boy thought he ws all type of right spelling that hoe,1
bitch you gorgeous,1
ohh whine whine whine says my faggot ass steroid cream forgiving giants is busterposey takin shot from barrybonds is that it,1
if she hates being kissed in the mouth she a hoe tell me different,1
emma watson theoscars,2
we always bitch about the opposite sex when we re equally just as scandalous not all but a large sum hypocrisy at it,1
i guess that oh was a bitch i don t ha,1
what else come on on mondays im not finna watch that trash ive destroyed enuf brain cells,2
fuzzy dice might be the nicest thing you could put in your car lol,2
guess who s a little bitch,1
is this flappy bird shit a joke or on the real tho,1
where are they now fads doc martens enjoying anal sex girbaud posers wiggers fake bangers now accountants jncos domin,1
bad bitches aint cheap better pass her if u broke,1
i hate when black people try and be white so bad your a nigger,0
tell a itty bitty bitch pipe down,1
sheryl crow be my mom,2
so i can get into something closely approximating the full bird of paradise yoga pose time to make my ragdoll cosplay,2
niggas is hoes,1
man it s some bad built bitches in san antonio if u can t wear a thong on the beach yo ass bet not retweet this,1
when u start realizing that bae is a hoe,1
dirty hoe,1
annnnd you re a dyke,1
sydney on this hoe asking dumb ass questions,1
if preferring to be barefoot makes me a basic bitch sign me up do i get a free mason jar,1
i make the pussy cringe,1
yea ima spin on yo hoe at about after,1
nope not at all but i m stuck in a house full of fucking niggers help me escape,0
i look better on your bitch than her outfit on my floor myboy,1
my nephew keeps tryna kiss me and i m like bitch you got zero followers dismiss yourself,1
whats a bad bitch to a queen with goals,1
dem hoes twatchin right nie dey need uh answer,1
i be sayin i m done drinkin everyday but then one of my friends hit me up like i gotta case and only faggots turn down free beer,0
somebody please choke that fucking retard that keeps yelling mashed potatoes what a tool pgachampionship,0
cuz the whole team trash,2
ik his bitch ass saw me mentioned his tall ass,1
since derek jeter s multi hit games vs are th most among behind gehrig s ruth s an,2
twitter has taught me that there are so many bitch made niggas in the world don t be fooled,1
slide in your bitch dms like,1
on set of bluebloods hoping there are no birds perched above me,2
i m from long beach california so people automatically think i ma badass or a bitch hahha,1
i can tell from this tweet that you re a twat,1
lemme find out you twitter beefin with hoes,1
hey hoe,1
not us bitches,1
ya pussy stank,1
money before bitches bc bitches follow money,1
i fuck bitches better watch yah hoe,1
i look like denzel when i tilt my head to the side too bitch,1
wealthy my aunt said i m handsome fuck you hoes broke,1
you can t cuff a hoe lmao,1
i m not fuckin wit october she on some new shit bitch cold,1
the only girls that care about being a guys wcw are hoes,1
little bitch your ass is getting tased when i get home,1
i hate it when a bitch know i don t fuck with her she really trying to talk to me like we cool nahh bitch foh you don t,1
half the bitches that say tfti wouldn t even go i bet,1
grown men wearing jerseys with other grown men s name on them don t forget your fucking pom poms,1
just tied my right shoe while driving on the freeway if that ain t swag bitch then i don t know what is,1
these hoes is lost hahaha how much you wanna bet she don t get the job lmao,1
a bitch get followers she s a boss and starting up a boutique and wearing shades in public,1
jihadis betting on public protests in britain to force uk gov out of the anti isis coalition,2
bad bitches get in free night at weenie hut jrs,1
and the plastic surgery of a tranny,1
we ll i m going to sleep fag,1
a hoe gone be a hoe,1
neither have i i just why ok i ve never had a nigger cock,1
draws perfect scorpion writes name all retarded,1
do you really believe people evolved from apes not really i m quiet convinced with the evolution of man but,2
you can t be a hoe saying that another girls a hoe your both hoes it cancels each other out,1
y all ain t gots no colored folk on da show i tinks dats be racist and shit thetoddshow,1
i m a bitch now ok,1
tranny dragons eh i know some people that will love this,2
bitches bitches bitches,1
i don t like it peaceful that s boring i like fighting i come from the ghetto do u remember that it s p impossible for me not to,2
if them niggas pussy we douche em we clean em out,1
you re really cool you re good at basketball and your a zebra is this,2
being a hoe is cute in,1
that bitch is goin off off off,1
poor whitey,0
miss you lil bitch,1
rather be an ultra fag than get an on my act and go to fgcu zing,1
text me bitch,1
she got me like fuck that bitch,1
free my brother turt and gn bitches,1
pussy put yo ass to sleep now i m calling you nyquil,1
i woke up like thi bitch go back to bed,1
balling like i m stunna bitch,1
when your phone goes off in class and the teacher says turn that trash off but its a song from your mixtape,2
i had froyo with brownies for dinner tonight being an adult is making these executive decisions,2
i already know wilson gone hoe later on let me gone get my ammo,1
instead of calling each other hoes girls should be supporting each other idk that s just me though,1
you and that bbw shit can get tf off this planet take these stud hoes with you too,1
fuck my ex bitch,1
eugene come watch me run circles round the rap game like my name was chip kelly in this bitch h,1
i hate when hoes tweet about hoes okay that aint hypocritical,1
at least after nearly two decades of complete trash they put out atysyc to redeem themselves,1
i need to change myself first im retarded as fuck,1
that s your bitch why she acting like she need a man,1
stupid ass hoe,1
you ve been a good as friend to me glad i got your honkie ass let s fuck shit up this year,1
looks prime for some trash pick up,2
who s downie like a brownie brunch need mimosas,2
freeballoutpartypart bitch it s going mo weeks,1
the baddest bitch is back on chestnut welcomehome,1
yeah he sucks just like the other fags who are oh nevermind there are no fags in the nfl,0
i fucked the bitch i used to dream about and coulda died when i came from disbelief nah i dont wish to speak on her name that shit is weak,1
hoes will be hoes,1
porn stars are acceptable bro im was talking about these air mattress hoes lol,1
basically you can t be bold and be a hoe at the same time,1
when you let go of all your hoes for one girl but she end up bein a hoe too,1
some of you hoes too,1
im omy to the movie right now and i m literally gonna slap a bitch if they scream or some shit,1
i am that horrible friend who reads your text then puts the phone down to do something and forgets to reply until ho,2
the left tho twitpic a selfie with a bad bitch,1
am done are acting like a little bitch my year old nephew realer then your scary ass sunset is not a time u dumb fuck,1
ya lil dumb ass bitch ian fwy,1
cunt nigger fuck balls tits cocksucker piss dick kike if you can t take swearing don t go on the god damn internet,1
ross got amber rose naked these hoes ain t loyal wiz,1
bare it bitch see what i did there,1
brush lets just ignore the silly hoe she s pregnant hella hormones tryna fuck with other people,1
if my tweets hit too close to home why you subbing me lil stupid ass bitch check ya own fucking self issues lil bitch,1
ya i know all the slang i m racist i h porch monkies,0
not true every man has hoes bye,1
just hit in flappy bird,2
if your girl smoke weed the dopeman slamming your bitch for a g but that s relationship goals to y a,1
i have class nig,1
it s ok to tell a nigga he trash and a feature will never happen fam,1
need to start mcbob because williams only shoot let him play with bird,2
never will we be an item psycho bitch,1
these customers are fucking crazy this bitch said god will smite me because her dumbass locked herself out of her account,1
no i dont like hoes,1
that s what that means some kid called me at like in the morning asking me if i wanted to hit the slopes,2
yankees acquire chase headley from the padres for yangervis solarte and rafael depaula,2
but country music listeners really are hicks and alcoholics,0
this uncle tom mother fucking wants to invoke a man in his speech dude you ain t white no matter how much,1
if you ask me every bitch gay,1
this bitch is crying,1
fuck a hot head pussy i gt a cold heart,1
that bitch had to pull my hair to win lol so what do you tweet if you lose,1
everyone needs to stop bitchin about jeter youre witnessing the last week of baseball from the greatest player to wear a yankees uniform,1
thirsty bitches not attractive,1
no feelins for a hoe that ain t ma main thang ma niggahs on the same thang all ma niggahs gangbang,1
char broiled cod yellow rice saut ed spinach and artichoke hearts made with love for,2
meet india s amazing death defying monkey king,2
chava needs to stay in his lane and keep sending gyro to hell you dont want it with the big boys you dirt infest ass beaner,0
fuck bitches get money,1
fat dykes make me want to vomit,0
like freaky bitch but i fucks with her,1
alright your time is up cheesecake trash,1
it s mrs g bitches that s mrs grohl if i don t know you wineprobz,1
what y all hoes up to,1
have their been any reports of an aerosolized virus that turns apes intelligent seems like that kind of day,2
takes a ho bath he s terrified of water how tf does he wash himself everyday lol,1
when things don t go my way i m a total bitch,1
bunch of hurt niggas bitches on my ig timeline tonight muhfuckas lame as hell b,1
so just chill hoe,1
me my bitch face is on point that s thanks,1
stop blowing the spurs pussies halftimespeech,1
darkskin girls got that juicy pussy,1
when bitches know they feeling stupid they keep there sentences short,1
this bitch bad firebird shit ain t even drop yet,1
this is why people are lucky they only deal with customers over the phone there d be a lot of choked out bitches if this was done in person,1
you a poop see i m going all ghetto talk wtf,1
lsu got a lot of thirsty muching nasty hoes football team stay running thru yall meal ticket wanting hoes lol,1
wtf is boy pussy lmao you atl nigga sick,1
i m back bitch,1
making homemade pickles and working on a funny tweet about pussy i am going to make a great old lady,1
we take your bitch then recieve head from your mom,1
hope you got what you wanted bitch,1
shy bladder group protests rob lowe directv ad,2
dumb hoes out here moving at a snails pace in life im coo,1
this bitch is stupid anti feminist via dumbass blndsundoll mj,1
just said bye to last time i have to see his bitch ass for four months thankgod,1
these hoes got no chill,1
i hate bitches but ugly and or fat bitches are the worst,1
lightweight heavyweight don t matter still knock bitches out,1
might need you to pummel a bitch,1
i wish i had a flying nimbus so when i picked up hoes i could tell if they pure hearted bitch a hoe she gon drop into,1
inbaltimore if you attractive everyby will believe you have the niggas bitches regardless of if you really do or do not,1
i get more nudes than all you bitches,1
kill em all at once i say the world will be a better place when bitches like her dies lonely,1
if you a bird throw it up birdgang eaglesnation,2
said i ain t neva love no bitcccccch but these bitches steady lovin on me on me ayeeee so what am i,1
when a bitch says you re broke,1
gone bust it open for a real nicca,2
man bitch am not gonna do a damn thang if u don t like what i got to say then unfollow me,0
he a bitch you should do it,1
status report making a pit stop in canada to rape bitches,0
this guy is retarded,1
watch excited isis jihadis getting their yezidi sex slaves on distribution day tcot lnyhbt pjnet tgdn gop,1
it goes from baby to hoe i love you to fuck you i hate you i need you to fuck off from you re my eve,1
my pussy worth,1
this bitch needs to get slapped,1
l niggas will rock anything a bad bitch post post on these social sites i just want a nigga to sniff a fart off my ass crack like dope,1
if you going to fuck on camera at least be a freak not a boring year ol lady what they got this hoe under granny porn,1
dat bird bitch heavy birdcage bitch byyyyyyrrrrrrrrrrrrr bitch,1
they are wrong you are a nigger always causung mischief among ur own people,0
taking out the trash at night,2
woah did this bitch say love,1
ugh i fuckin hate when this bitch don t answer my calls ewwwwwww,1
block or mute the cunt,1
so yall hoes still surfboard n in the tub or nah,1
i bet these bitches trying to set me up,1
chill bitch,1
where s my money bitch,1
she s a hoe she s a slut she s a freak,1
blessjesus the crown of his head to the sole of his feet,2
you still are a cunt,1
chile i m taking greyhound everywhere from now on yo hoes and bout to fly me into no building or fly me over the bermuda,1
all i wants is to represent da life o da colored man,2
if you take a long time to text back you a hoe,1
report what u want but physically chasing hounding is uncivilised also in case of bansal gadkari,2
i ve decided that bullsnation are retarded love,1
with me bitch,1
not all females constantly tweet about their boyfriends but i wish death on the ones that do tired of you and him bitch,1
if everybody already hit of course a nigga can t take you seriously idk why hoes be so surprised,1
what up fake ass hoe i m not gone fought you today gimme my nigga hand back,1
karma is theeeee biggest bitch,1
gotta smile dat drive bad bitches crazy,1
i just feel bad for the women that continually flock to such darkness thugs talk the big talk to simple minded hoes and to their own,1
god damn thats one manly bitch,1
when you re grinding with a bitch and she s knocking you over with the booty,1
naw bitches want attention not respect real women want respect truth,1
so yesterday i ran into a dude i went to high school with he used to be skinny as hell now omg same fucker who slit my tires years ago,1
basically i m the shit bitch,1
on my mama yous a hoe omm yous a bitch omm if you get in a jam i bet you snitch omm,1
it ain t nothin to cut that bitch off,1
this bitch wanna smoke all of my weed,1
the redskins are doing pretty good this year,2
see bitch this is why you have no friends,1
broke hoes words out my face,1
can i ask my bitch for other bitches,1
everybody got at one bitch on dey insta tl who got a baby it gets no likes y all fucked up lmao t,1
i be seein you bitches in the whip wit your boyfriend but he be lookin like your dad so i be eye ballin then here comes ole salty ass bf,1
i have to dress up tomorrow for mock interviews and i still don t know how to tie the tie,2
but bitch you gon shave or wax that pussy before i bless it foh,1
these bitches even worst they ll send them guys for you,1
why yall think its ok to be faggots and want us to be cool with them,0
wishing i could high five whoever named a species of birds great tits,1
when i saw men saying arguing with women is gay what s when i knew y all really try hard for bitches attention who don,1
if a bitch would everrrrrrr,1
man if a bad washington heights chick on dyckman likes me grabs her pussy and yells out what s good son i m still fuckin,1
slut opp thot hoe,1
come this fall i m cuffin side bitches y all had y all time the whole summer,1
good bitch,1
why do bitches put fuck a bio in they bio technically u still wrote a bio,1
point on a bitch like dirk nowitzki up in da club like dirk nowitzki,1
let the dem concern trolling commence in earnest wagons ho,2
for every thirst dog lies a thirsty bitch,1
truth about any distance for all you love birds out there,2
if we re together and you don t like that bitch i don t like that bitch either,1
pussy like girls zaaaammnn is my pussy gay,1
if a chick wants me to eat her pussy then leave i ll accept gladly lol,1
i want it to be somewhat of a collage money jewels cartiers etc jus little shit to let niccas know we still here,1
i show do like the jeffersons dat george make me wanna open up a dry cleaning stow and call all da white folk honkey,2
wish i could get drunk tonight but my hoe ass drinkin buddy sick and the other one left,1
fuck all that huggin and kisses i fuck all they bitches,1
i thinkkk shee knows about maaaa otheeeeeeeer bitch,1
this bitch sounds like she s gettin raped by other cats lmfaoo the fuckkkk closing the window whore cats,1
hey fag gag on my clappmeat,1
tv makes these hoes seem more attractive yawns,1
a bitch can have two black eyes bloody lip scalp bleeding bruises and a broken arm and still be like but i love him lmao,1
i really hate a fat bitch cause i m bony love smoking hella swisher s when i m feeling lonely try me voice,1
yas bitches yas,1
i ve been knowing fag,0
just watched the scene in zero dark thirty where they pop osama s bitch ass u s a,0
viet goddamn nam that s what happened go get me a beer bitch,1
trap keep me fly that s why i love him ayyyyy you got that hoe at forever huh,1
pics or it didn t happen or you re the side bitch,1
my mf dawggg i miss this hoe man,1
them jew lawyers and doctors say nigga ran lol nope they say shit like queer though,1
aurora is more ghetto then the bellos,2
we both have hella hoes but i swear all i want is you,1
and this is why i m single i don t fuck with bitches or there attitudes foh,1
thank you for proving my bitch ass wrong tonight,1
thirsty fo da bitches saggin my pants n shit shit i paid this much for the belt i betta crack a bitch,1
just a young niggah wit a promised future,1
dumb ass fake bitches childish shit talk mad shit about each other and back to best friends lmao,1
ugly flat chested prude ass white bitch,1
you might not get ya bitch back thats that,1
bro forreal if you have beef with someone handle it your damn self don t be a lil bitch and bring other people in it be a,1
bitch took flight,1
oomf a hoe she know she a hoe i know she a hoe she wont claim she a hoe so she say she aint a hoe but we all know you a hoe hoe,1
the boy who shot albino deer,2
watch ima hit that hoe later on this summer finna be the best most livestock party of,1
if money was my girl id stalk that bitch,1
kissing a girl you you actually really like feels better than fucking a sloppy hoe,1
thinking you re the godfather of maddiston lol you re the fucking wee bitch man if you ve got a problem come to mine al snap ur spine,1
we found your brother charlie out working on the dishes today dsn nasasocial,2
yall bitches wit no edges be doing the most talking,1
i call this the gram sugar delight or a heart attack it s a poptart twinkie a honeybun,2
cool beaners i just got home ready to keep my couch from floating away lol,2
i m getting tired of you telling what the fuck i m doing every time i m doing something lol peckerwood guy,1
the early bird takes a nap before noon,2
my main bitch called to tell me she missed me super cute love you boo,1
so much white trash at this demo derby,1
just need a bad bitch thats gone always hold me down,1
when americans claim isis is just a local threat reply you mean just to iraq syria turkey jordan saudi arabia leb,2
idc what phone u got lol silly nigger,0
humans are genetically closer to chimps than chimps are to gorillas but we are all apes have a great day you clever twe,2
after watching the desolation of smaug i have come to the conclusion that bilbo made all other hobbits look like bitches in lotr,1
lmfao thats dead them hoes gotta pay,1
i m a bitch because my family life is fucked my love life is fucked my social life is fucked just my outlook on life is fucked,1
stupid bitch,1
dick so little ugly hoes tryna find me,1
bitches be like i m a virgin,1
if some one isn t an anglo saxon protestant they have no right to be alive in the us none at all they are foreign filth,0
whoever made these brownies and cookies belongs in heaven,2
number of women denied birth control by hobby lobby number of democrat retards butthurt by the verdict,1
i hate wen hoes lie and say i fucked em signedtothestreets,1
if you re a whiney bitch have a zima and shut the fuck up democrats,1
don t ever be afraid to double bitch down ppl always expect you to be like i m sorry if i got loud or i m sorry to s,1
all he ever does is fav fuckin cunt,1
even though a bird can fly it must land on earth,2
you da bess you deserve a crown bitch,1
what mad cunt created masturbating that dude needs a high,1
lmao wallah you re nasty bitch,1
rule do pussy ass shit sometimes like write her love notes write long paragraphs about how you ve never felt this way b,1
tweetlikepontiacholmes i do the pontiac sprinkler nigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga,0
you can t appreciate a woman if you re entertaining hoes,1
i act like ion ee kno dat bitch,1
so damn sick of that damn lie smfh skinny girls look like iphones when they jeans come off bitch stop lying,1
man i do have hoes and they are all in the same location,1
magic ball are these hoes loyal,1
if i had a dollar for every time i fucked ur bitch,1
i liked a video conor mcgregor trash talking chad mendes i can rest my balls on your forehead,1
bitch back up i m taken,1
its too early for all this bullshit fuck all yall hoes lmfao,1
social network got bitches heads like,1
hey aside this was my graduation cap like fuck you bitch detroit what,1
right so the link would be your trash bin gotcha,2
going to california today for some analyzer training going into dick whitman mode wish i had a tan colored suit to wear for the flight,2
i ate a monkey andnowihaveebola,2
not about to shoot this pussy ima beat his face into the asphalt t,0
i know hoe,1
yo bitch ass needs to boss the fuck up,0
its time amend th amendment it was written to protect newly freed ex slaves its lived its purpose time to end anchor baby loophole,2
i drove my daughter s guinea pig to the vet s this morning i m quite handy with my new callaway golf clubs sickipedia,2
bitch stop lien,1
there s only like one retarded fucking beaner that does and he s a stupid ass ex,1
was finna slit my eyebrows up in the shop but nahhhhhh,2
suzan are you really going to make me get off this sofa to find some damn silverware by golly you old bitch,1
i peep a lot of shit and i just laugh cause these hoes some actors,1
i forgot you re the same bull that said yeezus was good and that j cole is trash,2
you following a whole bunch of bitches that look better than your girl don t do nothin but make you wanna cheat more,1
i ain t got no type bad bitches is the only thing i like,1
i was gunna eat the pussy but i m on a diet,1
breaking louisville coach charlie strong is expected to accept texas job according to espn media reports,2
on twitter you ho s can jus take a pic with your ass out and be somebody smh,1
it bothers me when a ugly girl has a bad bitch attitude,1
someone come take these brownies away from me before i eat the whole pan,2
vegeta a super hoe then but he did snack goni up something fierce during buu saga wow,1
ian worried bout a bitch who ain t worried bout me,1
this is why no one likes you because you re a bitch and a slut,1
these brownies,2
bruh this bitch booty so flat that its muscular,1
im a twat,2
your a fag,0
i have never actually seen a yellow duck,2
lol this freshman said why dress up as a baby that s so retarded i said well i mean u act like a baby so might as well dress like one,1
cc rosemary lehmberg i ll show you how to chug a beer motherf ker beerfest,1
bitch kill yoself go on to the bathroom and eat the pills bitch all of em,0
this art shit lives forever bitch keep the change,1
instead of joining sports teams hoes be joining twerk teams,1
money the best pussy,1
had to block his bitch ass,1
if only there was a medal for that we hate fags but we won t kill them medal thank u for the privilege to let fags live,0
ah lil bit bitch,1
work right now is bitch,1
yeah it was such a lie thats why you deleted it nigger,1
pac was real af on temptations thats exactly how it be for niggas getting money and bitches,1
better nip that shit in the bud early,1
the face you make before you tell a bitch about herself i make dat face too much,1
quitting showed me who my true friends were and it showed me all the ones who were the two faced bitches,1
yep sobs i got my hopes up when a couple of the national guys including that kiper mcshay mock had him slipping,2
sorry sam i went to is wes durham woody durham son if so why is that tar baby doing a pack game,2
kickin trash cans on the golf cart yeeyee,2
niggaz buying p y niggaz buying p y don t start this hoe shit,1
omg when yo side bitch find the gift you bought for ya girl lmfaoooooooo,1
alice took advantage of me last night that bitch won t tonight,1
you see me texting you bitch,1
nigger hello,1
it s still going i m gonna start singing cause this nigga got the hoes,1
i done went wit a hoe before frfr so who am i to judge,1
ricky is such a bitch when it comes to girls,1
a boyfriend and girlfriend suppose to laugh at these hoes together a guy should never have these hoes laughing at his,1
he no doubt copied it from someone else alert the mock turtleneck is back,2
never have kids by a fan bitch if so cop signedtothestreets lol,1
i uploaded a video goproud makes money out of twinkie crisis in free market spirit,2
they shot another monkey lmaooooooooooo,0
only white people use the word cunt todd really is taking over,1
i just wanna state for the record that i don t have any hoes,1
when your man call you a bitch when y all arguing he don t think you really a bitch you just actin like one,1
all of a sudden craving the hell out of cookies,1
one man s trash is another man s treasure perfectly explains strippers with daddy issues,2
pussy so good got me running through the hood,1
y all can say imma make it way farther than you all you want but aye i m gonna have fun bitch so suck a diiiccckkk,1
all these hoes fucking but they don t want to seem like a hoe so you gotta hit em on the low,1
thats why youz a yellow bone,2
these niccas sangin on dey partnas witout a grammy award,1
lol bitch i m indian you op,1
dad called me a border hopper,2
woke up feeling like a bitch gonna stop acting like a bitch over some weak shit and focus on myself now its me time bruh,1
bitch nigga lol,1
who got time to be having dem hoes that s aint wassup no more,1
how u gone bring ur side bitch to a game where you know ya gf friends at i swear,1
ugly bitches stay subbing,1
how could you do this to meeeeeee bitch,1
bitch just sucked my dick and tried to give me sugar bitch get out,1
what these bitches want from a nigga like on some dmx shit,0
this bitch compared dicks to pencils get sharpened like don t as you sharpen a pencil it becomes more useful,1
the people who have historically been called white trash were called that for a reason they re white trash the truth hurts,0
we raided nicki s wig closet for the summer bad gals just wanna have fun this bitch has the a nerve smh,2
i honesty think the internet is just full of retards,1
zelda bitches lol,1
i m gonna rock out with my cock out and you re gonna jam out with your clam out,1
got a bitch so bad you can t afford to fuck,1
like the song french got all the black bitches mad because my main bitch strawberry lololol,1
talmbout i graduate next month word congrats what in safe food handling bitch if you don t flee from me with th,1
im soooooo tired of this dick dyke showing up on my fb feed real studs dont fucc niggas just be bisexual,0
not a fob fan nor in the know but fuck you fatty is a poor argument for anything after th,1
everybody fckn everybody bitch everybody with the shit that s life,1
dont fucks with u hoe,1
these niggas retarded lmfaoo,0
these bitches funny like mike epps,1
self low down black bitch,1
why ur profile a one armed nigger,0
tweakin hoe,1
i don t like bitch niggaz and they don t like me boss up,1
jadeveon clowney tops s latest mock draft he s a once every to year guy,2
so your a nigger fighter huh,0
eat her pussy nd look at her like this,1
